"Day","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Day (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)"
"2025-02-10",62,3,3,3,0.04838709677419355,"2025-01-10",0,0,0,0,
"2025-02-11",88,3,3,1,0.011363636363636364,"2025-01-11",0,0,0,0,
"2025-02-12",59,1,3,1,0.01694915254237288,"2025-01-12",0,0,0,0,
"2025-02-13",73,2,5,2,0.0273972602739726,"2025-01-13",0,0,0,0,
"2025-02-14",73,0,3,0,0,"2025-01-14",0,0,0,0,
"2025-02-15",113,0,1,0,0,"2025-01-15",0,0,0,0,
"2025-02-16",59,0,0,0,0,"2025-01-16",0,0,0,0,
"2025-02-17",53,0,3,2,0.03773584905660377,"2025-01-17",0,0,0,0,
"2025-02-18",61,2,3,0,0,"2025-01-18",0,0,0,0,
"2025-02-19",65,0,2,1,0.015384615384615385,"2025-01-19",0,0,0,0,
"2025-02-20",51,0,3,1,0.0196078431372549,"2025-01-20",83,7,6,0,0
"2025-02-21",97,3,4,2,0.020618556701030927,"2025-01-21",43,4,5,1,0.023255813953488372
"2025-02-22",110,5,8,2,0.01818181818181818,"2025-01-22",16,0,0,0,0
"2025-02-23",408,2,5,2,0.004901960784313725,"2025-01-23",21,0,0,0,0
"2025-02-24",440,8,7,3,0.006818181818181818,"2025-01-24",8,0,0,0,0
"2025-02-25",301,8,6,1,0.0033222591362126247,"2025-01-25",22,0,0,0,0
"2025-02-26",93,6,0,0,0,"2025-01-26",8,0,0,0,0
"2025-02-27",133,5,7,3,0.022556390977443608,"2025-01-27",27,1,1,1,0.037037037037037035
"2025-02-28",89,3,5,0,0,"2025-01-28",34,3,3,2,0.058823529411764705
"2025-03-01",46,1,4,2,0.043478260869565216,"2025-01-29",88,3,2,1,0.011363636363636364
"2025-03-02",98,4,6,2,0.02040816326530612,"2025-01-30",31,0,0,0,0
"2025-03-03",50,5,6,3,0.06,"2025-01-31",100,8,3,0,0
"2025-03-04",452,14,9,4,0.008849557522123894,"2025-02-01",81,4,3,0,0
"2025-03-05",367,10,2,0,0,"2025-02-02",26,0,0,0,0
"2025-03-06",80,1,5,1,0.0125,"2025-02-03",128,1,3,1,0.0078125
"2025-03-07",150,5,6,3,0.02,"2025-02-04",248,5,5,1,0.004032258064516129
"2025-03-08",192,7,7,6,0.03125,"2025-02-05",200,3,2,0,0
"2025-03-09",60,4,3,1,0.016666666666666666,"2025-02-06",64,2,3,2,0.03125
"2025-03-10",47,5,3,1,0.02127659574468085,"2025-02-07",77,1,3,1,0.012987012987012988
"2025-03-11",21,0,0,0,0,"2025-02-08",81,7,7,5,0.06172839506172839
"2025-03-12",1,0,0,0,0,"2025-02-09",78,3,4,1,0.01282051282051282
