"Session country","Session region","Session city","Online store visitors","Sessions"
"Pakistan","Sindh","Karachi",216,224
"Pakistan","Punjab","Lahore",176,178
"Pakistan",,,110,116
"Pakistan","Islamabad","Islamabad",70,78
"Pakistan","Punjab","Faisalabad",57,61
"Pakistan","Punjab",,55,56
"Pakistan","Punjab","Rawalpindi",39,39
"Pakistan","Punjab","Multan",21,21
"United States","Virginia","Ashburn",13,13
"Pakistan","Khyber Pakhtunkhwa","Peshawar",13,13
"United States",,,12,12
"Singapore",,,11,11
"United States","Iowa","Council Bluffs",6,6
"Pakistan","Punjab","Gujranwala",5,6
"Pakistan","Balochistan","Quetta",5,5
"Pakistan","Punjab","Taunsa",5,5
"Pakistan","Punjab","Sialkot",5,5
"United States","Oregon","Boardman",4,4
"Pakistan","Punjab","Renala Khurd",4,4
"Pakistan","Sindh","Hyderabad",2,4
"United States","Ohio","Columbus",4,4
"Pakistan","Sindh","Larkana",2,4
"Pakistan","Punjab","Jhelum",3,3
"Pakistan","Sindh","Jamshoro",2,3
"United States","North Carolina","Forest City",3,3
"Pakistan","Punjab","Chunian",3,3
"Pakistan","Khyber Pakhtunkhwa","Bannu",3,3
"Pakistan","Punjab","Sargodha",3,3
"Germany",,,2,2
"Pakistan","Khyber Pakhtunkhwa","Abbottabad",2,2
"Pakistan","Punjab","Khanewal",2,2
"Pakistan","Gilgit-Baltistan","Gilgit",2,2
"Pakistan","Punjab","Bahawalpur",2,2
"Pakistan","Punjab","Mandi Burewala",1,1
"United States","New Mexico","Los Lunas",1,1
"Pakistan","Punjab","Chichawatni",1,1
"Pakistan","Khyber Pakhtunkhwa","Swabi",1,1
"Malaysia","Negeri Sembilan","Seremban",1,1
"Pakistan","Punjab","Mandi Bahauddin",1,1
"United States","Oregon","Prineville",1,1
"Pakistan","Punjab","Sahiwal",1,1
"Ireland","Leinster","Clonee",1,1
"Malaysia","Kuala Lumpur","Kuala Lumpur",1,1
"Pakistan","Khyber Pakhtunkhwa","Mardan",1,1
"Pakistan","Sindh","Sukkur",1,1
"Sweden","Norrbotten County","Luleå",1,1
"Malaysia","Penang","George Town",1,1
"Brazil","São Paulo","Praia Grande",1,1
"Pakistan","Punjab","Dera Ghazi Khan",1,1
"Pakistan","Punjab","Mian Channu",1,1
"Pakistan","Sindh","Ubauro",1,1
"Pakistan","Khyber Pakhtunkhwa","Mansehra",1,1
"Pakistan","Khyber Pakhtunkhwa","Swat",1,1
"Pakistan","Punjab","Gojra",1,1
